Artikelid,Varnummer
1000080,77747
1000083,75639
1000178,77857
1002712,71245
1003352,77011
1003771,77591
1004436,72492
1004483,72896
1004489,6420
1004547,2332
1004847,77659
1005524,74960
1006260,5569
1006280,5569
1006372,3065
1007535,75998
1007578,5514
1007992,73225
1007995,77680
1008008,70808
1008017,77758
1008038,77964
1008041,72676
1008050,77671
1008061,75707
1008421,77509
1008921,79322
1009158,77352
1009797,76420
1010726,75491
1010813,75613
1011573,2771
1011618,74983
1011715,74466
1011718,77062
1012612,77684
1013215,74325
1013551,2008
1013561,7912
1014029,77989
1014080,77647
1014086,77653
1014089,77879
1014285,2549
1014330,6323
1014342,6328
1014357,77955
1014360,77019
1014609,77244
1015215,77629
1016917,77667
1016923,77462
1016976,75973
1017303,75978
1017321,77586
1017561,75799
1017737,77791
1018386,77773
1018389,77553
1018402,77552
1018418,77565
1018680,7879
1018906,72777
1018968,77119
1018971,77610
1018980,77108
1018995,77559
1019008,77669
1019014,77670
1019737,6287
1019806,6418
1019818,6217
1019846,6562
1020256,77264
1020292,77980
1020801,76598
1021015,2246
1022557,77915
1022772,77394
1023026,76764
1023035,2740
1023178,91190
1023308,2759
1023322,5585
1023335,77589
1023397,75949
1023468,79438
1023667,5006
1024013,2521
1024390,74259
1024940,77339
1025019,77916
1025059,76262
1025931,2361
1026147,75144
1026150,90618
1026925,79125
1026935,77220
1027087,77243
1027093,77418
1027299,76279
1027386,77833
1027419,77966
10285596,77384
10285598,72809
10285601,78113
1028718,75360
1028733,75191
1028743,74052
10287508,77155
1028756,7487
1028764,77276
1028767,77501
1028916,77693
1029057,77734
1029147,77769
1029378,77456
1029426,77741
1029837,77741
1029924,79010
1030031,79118
1030053,77109
1030056,77511
1030391,72456
1030647,77112
1030892,2553
1030948,77068
1030975,77402
1031188,92130
1031200,92137
1031578,77802
1031649,77644
1032209,2122
1032221,7611
1032255,75248
1032267,75950
1032277,75097
1032290,5613
1032302,2288
1032854,76698
1033059,71416
10331,12670
1033354,79119
1033372,76227
1033384,2298
1033390,76928
1033572,75912
1034329,72549
1034537,77620
1034975,77962
1034981,99281
10362316,72357
10362317,75006
1037961,76567
1037974,72782
10389,6463
1039754,70196
1039847,77181
1039871,71102
1039888,70510
1040104,70210
1040279,77865
1040311,71966
1040440,77453
1040731,70955
1040744,70834
1040763,7723
1040770,75586
1040773,75131
1040801,76308
1041802,77141
1041814,78357
1041961,77780
1044533,77799
1044609,99845
1044681,92219
1045257,77957
1045598,77874
1046035,6588
10475,16510
10480,7545
1051675,96072
1051799,12120
1052712,77657
1052940,71103
10534,7628
1053516,77239
1053562,77239
1053569,77239
1053853,6238
1053859,6716
1053868,6726
1053881,6486
1054316,76100
1054326,6347
1054663,6611
1054701,77882
1054722,77746
1055022,76060
1055042,70765
1055418,77282
1055883,77918
1055969,77495
1056259,77608
1056337,4221
1056567,78194
1057062,95147
1057188,72152
1057670,2939
1058518,7613
1058538,2725
1058541,7615
1058555,6296
1058598,2822
1060004,2366
1060034,2127
1060062,2004
1060233,90553
1061366,2031
1062053,77132
1062276,4993
1062286,73988
1062289,73570
1062298,4995
1062301,75208
1062317,4992
1062719,75543
1062946,77849
1062960,77950
1063140,77881
1063374,76409
1063465,76467
1063900,77954
1064867,2168
1064965,2347
1065089,78627
1065313,77880
1065325,2433
1065587,87661
1065647,7405
1067742,76557
1067804,2372
1067972,77353
1067994,77618
1068446,77973
1068569,2772
1068838,2200
1069056,77338
1069865,2104
10703,5914
1070989,72992
1071567,77254
1072093,77046
1072381,2931
1072476,2184
1072489,5823
1073229,77533
1073563,74298
1073932,77230
1074274,73268
1075210,77432
1075231,77755
1075270,76492
1075817,5551
1075965,74993
1076174,71931
1077182,73018
1077772,90247
1077974,77614
1078270,90591
1078438,99309
1080475,77790
1080947,77082
1081033,77184
1082241,5487
1082257,77034
1082261,77425
1082647,95326
1082668,90661
1083301,75512
1083364,71348
1083507,72638
1083554,74578
1083609,73297
1084111,4638
1084127,4639
1084159,2140
1084439,2169
1084492,7870
1084505,7870
1084511,2519
1084520,6455
1084529,6242
1084544,75947
1084609,2699
1085059,76791
1085139,71785
1085458,76485
1085479,77584
1085720,4641
1085753,76052
1085949,31050
1085986,77856
1086158,78006
1086532,77839
1087628,77834
1087665,77806
1088019,76194
1088576,2339
1089633,91110
1089809,2501
1089929,2761
10900,12419
1090023,91262
1090094,77301
1090499,77117
1090586,3211
1090828,2368
1090831,76831
1090838,2399
1090878,77716
1091167,2334
1091509,77307
1091512,77753
1091957,3601
1091981,77549
1092015,79508
1092091,7898
1092101,3626
1092234,79926
1092246,7898
1092268,77801
1092316,77801
1092369,77870
1092471,2228
1092525,77207
1092854,7520
1092935,7520
1093002,72413
1093480,76866
1093538,1002
1093569,77814
1093582,77844
1093652,2435
1093782,2437
1093841,77375
1094358,2973
1094377,5913
1094380,2791
1094395,2793
1094460,76477
1094701,5488
1095362,31141
1095404,2794
1095442,2974
1096083,77720
1096096,77592
1096303,77376
1096362,77379
1096368,74435
1096371,77028
1096706,91139
1096865,71784
1096890,77029
1096900,91330
1096908,2797
1097099,77637
1097102,77568
1097105,77570
1097108,2163
1097111,77621
1097475,73241
1097725,77762
1098144,76738
1098168,2441
1098196,2442
1098347,73245
1098436,77778
1098538,7749
1098557,77455
1098693,2444
1099126,78294
1099352,6590
1099897,6299
1099900,6360
1099922,75964
1100026,73090
1101069,6360
1101216,79195
1101580,76236
1101737,78943
1101936,74912
1101949,76580
11022,7748
1102248,99217
1103225,77267
1103241,70190
1103308,5489
1103645,91819
1103908,75696
1103925,92021
1103960,2174
1104006,97010
1104949,71802
1104974,77674
1104993,71850
1105020,72418
1105212,77256
1105218,77601
1105253,6430
1105392,2017
1105697,74604
1105715,99509
1105721,99570
1105746,95538
1106133,6437
1106169,6011
1106176,6203
1106179,6816
1106210,74687
1106272,6015
