Artikelid,Namn,Namn2,Varugrupp,Varnummer,Prisinklmoms,Ursprung,Producent,Argang,Alkoholhalt,Typ,RavarorBeskrivning
1000080,Canella,Valdobbiadene Prosecco Superiore Extra Dry,Mousserande vin,77747,147.0,Venetien,Canella SpA,2014.0,11.00%,Vitt Torrt,
1000083,Viña Soledad,Tête de Cuvee Reserva,Vitt vin,75639,159.0,Rioja,Bodegas Franco-Españolas,2006.0,12.00%,Fylligt & Smakrikt,Viura.
1000178,Canella,Bellini,Mousserande vin,77857,133.0,,Canella SpA,,5.00%,ovrigt,
1002712,Huntyard,Organic Appassimento,Rott vin,71245,89.0,Apulien,Cantinetta Vini,2016.0,14.50%,Kryddigt & Mustigt,
1003352,Delamotte,Blanc de Blancs Brut,Mousserande vin,77011,619.0,Champagne,Delamotte,2007.0,12.00%,Vitt Torrt,
1003771,Giró i Giró,Bombonetta Gran Reserva Brut,Mousserande vin,77591,230.0,Cava,Jaume Giró i Giró,2011.0,11.50%,Vitt Torrt,
1004436,Escada,Touriga Nacional,Rott vin,72492,89.0,Lisboa,DFJ Vinhos,2016.0,13.00%,Fruktigt & Smakrikt,
1004483,Ruppertsberger,Riesling Auslese,Vitt vin,72896,89.0,Pfalz,Ruppertsberger Weinkeller Hoheburg eG,2014.0,8.50%,Sott,
1004489,Apothic Red,Winemaker's Blend,Rott vin,6420,269.0,Kalifornien,Apothic Wines,2015.0,13.50%,Fruktigt & Smakrikt,
1004547,Bacio della Luna,Prosecco Superiore Brut,Mousserande vin,2332,109.0,Venetien,Bacio della Luna,2016.0,11.00%,Vitt Torrt,Glera.
1004847,958 Santero,Cuvèe Extra Dry,Mousserande vin,77659,119.0,,Santero,,11.50%,Vitt Torrt,
1005524,Barbera del Monferrato,Livio Pavese,Rott vin,74960,109.0,Piemonte,Livio Pavese,2011.0,13.50%,Kryddigt & Mustigt,Barbera.
1006260,Saint-Aubin Vieilles Vignes,Domaine Roux,Vitt vin,5569,229.0,Bourgogne,Domaine Roux,2016.0,13.00%,Fylligt & Smakrikt,Chardonnay.
1006280,Saint-Aubin Vieilles Vignes,Domaine Roux,Vitt vin,5569,120.0,Bourgogne,Domaine Roux,2016.0,13.00%,Fylligt & Smakrikt,Chardonnay.
1006372,Château La Bourree,,Rott vin,3065,95.0,Bordeaux,Vignobles Meynard,2016.0,14.00%,Fruktigt & Smakrikt,70% merlot och 30% cabernet franc.
1007535,Cigarra Gran Passo,Touriga Nacional Cabernet Sauvignon,Rott vin,75998,89.0,Lisboa,Casa Santos Lima,2015.0,14.00%,Fruktigt & Smakrikt,Touriga nacional och cabernet sauvignon.
1007578,Sancerre Les Roches,Domaine Vacheron,Vitt vin,5514,209.0,Loiredalen,Domaine Vacheron,2016.0,12.50%,Friskt & Fruktigt,Sauvignon blanc.
1007992,Jean-Louis Denois,Extra Brut Chardonnay,Mousserande vin,73225,171.0,,Jean-Louis Denois,,12.50%,Vitt Torrt,
1007995,Brimoncourt,Extra Brut,Mousserande vin,77680,497.0,Champagne,Brimoncourt,,12.50%,Vitt Torrt,
1008008,Pineto,Brachetto D'Acqui,Rott vin,70808,180.0,Piemonte,Casa Vinicola Marenco,2014.0,5.50%,Sott,
1008017,Frassinelli,Valdobbiadene Prosecco Superiore Millesimato,Mousserande vin,77758,151.0,Venetien,Azienda Agricola Frassinelli,2014.0,11.50%,Vitt Torrt,
1008038,Pierre Peters,L'Esprit Blanc de Blancs,Mousserande vin,77964,449.0,Champagne,Pierre Peters,2009.0,12.00%,Vitt Torrt,
1008041,Bombshell,Zinfandel,Rott vin,72676,89.0,Apulien,Agricole Rizello Spa,2015.0,14.00%,Fruktigt & Smakrikt,
1008050,Dentelles & Crinolines,Extra Brut,Mousserande vin,77671,349.0,Champagne,Pierre Brigandat & Fils,2009.0,12.00%,Vitt Torrt,
1008061,Castelmare,Amarone della Valpolicella Classico,Rott vin,75707,164.0,Venetien,Cantina Valpolicella Negrar,2014.0,15.00%,Kryddigt & Mustigt,
1008421,Avinyó,Blanc de Noirs Cava Brut Nature Reserva,Mousserande vin,77509,184.0,Cava,Avinyó,,11.50%,Vitt Torrt,
1008921,Mizzon,Passito Bianco,Vitt vin,79322,299.0,Venetien,Mizzon di Perusi Nicola,2012.0,14.00%,Sott,
1009158,DG Viticultors,Cava Brut Reserva Chardonnay,Mousserande vin,77352,171.0,Cava,DG Viticultors,2012.0,12.50%,Vitt Torrt,
1009797,Barolo,Villaforte,Rott vin,76420,179.0,Piemonte,Mare Magnum,2012.0,14.50%,Stramt & Nyanserat,Nebbiolo.
1010726,Ranas Slott,Ricossa Piemonte Barbera,Rott vin,75491,139.0,Piemonte,MGM Mondo del Vino,2014.0,13.50%,Mjukt & Barigt,Barbera.
1010813,Ranas Slott,Ricossa Roero Arneis,Vitt vin,75613,129.0,Piemonte,MGM Mondo del Vino,2014.0,13.00%,Friskt & Fruktigt,Arneis.
1011573,Oinoz,Prestigio,Rott vin,2771,119.0,Castilla y León,Agricultura y Bodega Renacimiento SL,2007.0,15.00%,Kryddigt & Mustigt,Tempranillo.
1011618,Portal Del Alto,Syrah Tardio Late Harvest,Rott vin,74983,147.0,,Viña Portal del Alto,2014.0,13.50%,Sott,
1011715,Portal Del Alto,Late Harvest Moscatel Viognier,Vitt vin,74466,132.0,,Viña Portal del Alto,2014.0,13.50%,Sott,
1011718,Dream Line,Mix Forpackning,Mousserande vin,77062,810.0,,Espadafor,,8.00%,ovrigt,
1012612,Misal,Prestige Extra Brut,Mousserande vin,77684,249.0,Istra,Dordano Persuric,,12.00%,Vitt Torrt,
1013215,Amicone,,Rott vin,74325,309.0,Venetien,Cantine di Ora,2014.0,14.50%,Fruktigt & Smakrikt,
1013551,Oldenburg Vineyards,Syrah,Rott vin,2008,189.0,Western Cape,Oldenburg Vineyards,2013.0,14.50%,Kryddigt & Mustigt,Syrah.
1013561,Stoneleigh,Brut Cuvee,Mousserande vin,7912,109.0,,Stoneleigh Vineyards,,12.50%,Vitt Torrt,Chardonnay och pinot noir.
1014029,Doyard Mahe,Carte d'Or Premier Cru Blanc de Blancs Brut,Mousserande vin,77989,447.0,Champagne,Doyard-Mahe,,12.00%,Vitt Torrt,
1014080,Doyard Mahe,Cuvee Desir Blanc de Blancs Extra Brut,Mousserande vin,77647,497.0,Champagne,Doyard-Mahe,,12.00%,Vitt Torrt,
1014086,Doyard Mahe,Millesime Blanc de Blancs Extra Brut,Mousserande vin,77653,546.0,Champagne,Doyard-Mahe,2010.0,12.00%,Vitt Torrt,
1014089,Doyard Mahe,Millesime Premier Cru Blanc de Blancs Brut,Mousserande vin,77879,595.0,Champagne,Doyard-Mahe,2009.0,12.00%,Vitt Torrt,
1014285,Zola,Chenin Blanc Chardonnay Sauvignon Blanc,Vitt vin,2549,189.0,Western Cape,Du Toitskloof Cellar,2017.0,13.00%,Friskt & Fruktigt,"50% chenin blanc, 35% chardonnay och 15% sauvignon blanc."
1014330,Brancott Estate,Organic Living Land Pinot Gris,Vitt vin,6323,99.0,Marlborough,Brancott Estate,2016.0,13.50%,Druvigt & Blommigt,Pinot gris.
1014342,Ata Rangi,Crimson Pinot Noir,Rott vin,6328,151.0,Wellington N Z,Ata Rangi,2014.0,14.00%,Kryddigt & Mustigt,Pinot noir.
1014357,Duval Leroy,Brut Reserve,Mousserande vin,77955,349.0,Champagne,Duval-Leroy,2014.0,12.00%,Vitt Torrt,
1014360,Duval Leroy,Femme de Champagne Grand Cru,Mousserande vin,77019,999.0,Champagne,Duval-Leroy,2000.0,12.50%,Vitt Torrt,
1014609,Frassinelli,Conegliano Valdobbiadene Prosecco Superiore Extra Dry,Mousserande vin,77244,157.0,Venetien,Azienda Agricola Frassinelli,,11.00%,Vitt Torrt,
1015215,Clairette de Die,David Bautin Methode Ancestrale,Mousserande vin,77629,148.0,Rhonedalen,David Bautin,,8.50%,Vitt Sott,
1016917,Famiglia Pasqua Prosecco,Romeo&Juliet Brut,Mousserande vin,77667,95.0,Venetien,Pasqua,,11.00%,Vitt Torrt,
1016923,Pasqua Prosecco,Extra Dry,Mousserande vin,77462,39.0,Venetien,Pasqua,,11.00%,Vitt Torrt,
1016976,Cava Vega,Medien Organic Brut,Mousserande vin,75973,98.0,Cava,Segura Viudas,,11.50%,Vitt Torrt,
1017303,Taittinger,Comtes de Champagne Brut Blanc de Blancs,Mousserande vin,75978,1350.0,Champagne,Taittinger,2006.0,12.50%,Vitt Torrt,
1017321,Francois Montand,,Mousserande vin,77586,89.0,,Francois Montand,,11.50%,Vitt Torrt,Chardonnay.
1017561,Palmer,Blanc de Noirs,Mousserande vin,75799,349.0,Champagne,Palmer & Co,,12.00%,Vitt Torrt,
1017737,Cremant de Bourgogne,Baron Aime,Mousserande vin,77791,135.0,Bourgogne,Baron Aime,,12.00%,Vitt Torrt,
